00000051) perceptual - 9.11903; equivariance_value - 0.06278; equivariance_jacobian - 0.14236
00000052) perceptual - 9.15920; equivariance_value - 0.06337; equivariance_jacobian - 0.14262
00000053) perceptual - 9.07986; equivariance_value - 0.06249; equivariance_jacobian - 0.14136
00000054) perceptual - 9.09396; equivariance_value - 0.06298; equivariance_jacobian - 0.14203
00000055) perceptual - 9.06149; equivariance_value - 0.06198; equivariance_jacobian - 0.14029
00000056) perceptual - 9.09864; equivariance_value - 0.06179; equivariance_jacobian - 0.13995
00000057) perceptual - 9.08786; equivariance_value - 0.06255; equivariance_jacobian - 0.14110
00000058) perceptual - 9.04983; equivariance_value - 0.06151; equivariance_jacobian - 0.13880
00000059) perceptual - 9.08086; equivariance_value - 0.06181; equivariance_jacobian - 0.14008
00000060) perceptual - 9.04721; equivariance_value - 0.06150; equivariance_jacobian - 0.13889
00000061) perceptual - 8.85199; equivariance_value - 0.05921; equivariance_jacobian - 0.13292
00000062) perceptual - 8.77018; equivariance_value - 0.05839; equivariance_jacobian - 0.13062
00000063) perceptual - 8.78929; equivariance_value - 0.05756; equivariance_jacobian - 0.13020
00000064) perceptual - 8.78957; equivariance_value - 0.05762; equivariance_jacobian - 0.12963
00000065) perceptual - 8.79000; equivariance_value - 0.05708; equivariance_jacobian - 0.12901
00000066) perceptual - 8.76300; equivariance_value - 0.05732; equivariance_jacobian - 0.12901
00000067) perceptual - 8.75177; equivariance_value - 0.05734; equivariance_jacobian - 0.12865
00000068) perceptual - 8.75250; equivariance_value - 0.05707; equivariance_jacobian - 0.12850
00000069) perceptual - 8.75234; equivariance_value - 0.05692; equivariance_jacobian - 0.12828
00000070) perceptual - 8.72600; equivariance_value - 0.05662; equivariance_jacobian - 0.12843
00000071) perceptual - 8.74524; equivariance_value - 0.05689; equivariance_jacobian - 0.12847
00000072) perceptual - 8.71383; equivariance_value - 0.05633; equivariance_jacobian - 0.12727
00000073) perceptual - 8.74194; equivariance_value - 0.05652; equivariance_jacobian - 0.12801
00000074) perceptual - 8.71287; equivariance_value - 0.05601; equivariance_jacobian - 0.12718
00000075) perceptual - 8.70603; equivariance_value - 0.05613; equivariance_jacobian - 0.12695
00000076) perceptual - 8.71375; equivariance_value - 0.05600; equivariance_jacobian - 0.12720
00000077) perceptual - 8.71502; equivariance_value - 0.05611; equivariance_jacobian - 0.12679
00000078) perceptual - 8.71211; equivariance_value - 0.05632; equivariance_jacobian - 0.12752
00000079) perceptual - 8.68796; equivariance_value - 0.05605; equivariance_jacobian - 0.12706
00000080) perceptual - 8.70974; equivariance_value - 0.05616; equivariance_jacobian - 0.12697
00000081) perceptual - 8.69483; equivariance_value - 0.05556; equivariance_jacobian - 0.12625
00000082) perceptual - 8.74357; equivariance_value - 0.05568; equivariance_jacobian - 0.12622
00000083) perceptual - 8.68546; equivariance_value - 0.05524; equivariance_jacobian - 0.12601
00000084) perceptual - 8.71286; equivariance_value - 0.05578; equivariance_jacobian - 0.12645
00000085) perceptual - 8.69430; equivariance_value - 0.05535; equivariance_jacobian - 0.12553
00000086) perceptual - 8.69491; equivariance_value - 0.05569; equivariance_jacobian - 0.12676
00000087) perceptual - 8.69452; equivariance_value - 0.05535; equivariance_jacobian - 0.12600
00000088) perceptual - 8.66776; equivariance_value - 0.05565; equivariance_jacobian - 0.12619
00000089) perceptual - 8.66690; equivariance_value - 0.05571; equivariance_jacobian - 0.12595
00000090) perceptual - 8.68648; equivariance_value - 0.05547; equivariance_jacobian - 0.12559
00000091) perceptual - 8.64501; equivariance_value - 0.05548; equivariance_jacobian - 0.12551
00000092) perceptual - 8.64525; equivariance_value - 0.05521; equivariance_jacobian - 0.12493
00000093) perceptual - 8.64334; equivariance_value - 0.05532; equivariance_jacobian - 0.12528
00000094) perceptual - 8.66442; equivariance_value - 0.05524; equivariance_jacobian - 0.12522
00000095) perceptual - 8.65265; equivariance_value - 0.05518; equivariance_jacobian - 0.12516
00000096) perceptual - 8.66559; equivariance_value - 0.05545; equivariance_jacobian - 0.12519
00000097) perceptual - 8.64371; equivariance_value - 0.05485; equivariance_jacobian - 0.12468
00000098) perceptual - 8.66259; equivariance_value - 0.05508; equivariance_jacobian - 0.12504
00000099) perceptual - 8.65436; equivariance_value - 0.05490; equivariance_jacobian - 0.12454
